"Subject","Function"
"libpng","pngset.c:png_set_cHRM_XYZ"
"libpng","pngset.c:png_set_eXIf"
"libpng","pngset.c:png_set_gAMA_fixed"
"libpng","pngset.c:png_set_gAMA"
"libpng","pngset.c:png_set_sCAL"
"libpng","pngset.c:png_set_sCAL_fixed"
"libpng","pngset.c:png_set_sRGB"
"libpng","pngset.c:png_set_sRGB_gAMA_and_cHRM"
"libpng","pngset.c:png_set_iCCP"
"libpng","pngset.c:png_set_text"
"libpng","pngset.c:png_set_unknown_chunk_location"
"libpng","pngset.c:png_permit_mng_features"
"libpng","pngset.c:png_set_read_user_chunk_fn"
"libpng","pngset.c:png_set_rows"
"libpng","pngset.c:png_set_compression_buffer_size"
"libpng","pngset.c:png_set_invalid"
"libpng","pngset.c:png_set_user_limits"
"libpng","pngset.c:png_set_chunk_cache_max"
"libpng","pngset.c:png_set_chunk_malloc_max"
"libpng","pngset.c:png_set_check_for_invalid_index"
"libpng","pngset.c:png_check_keyword"
"libpng","pngtrans.c:png_set_user_transform_info"
"libpng","pngtrans.c:png_get_user_transform_ptr"
"libpng","pngtrans.c:png_get_current_row_number"
"libpng","pngtrans.c:png_get_current_pass_number"
"LibTIFF","port/dummy.c:libport_dummy_function"
"LibTIFF","libtiff/tif_aux.c:_TIFFMultiply32"
"LibTIFF","libtiff/tif_error.c:TIFFErrorExt"
"LibTIFF","libtiff/tif_aux.c:_TIFFMultiply64"
"LibTIFF","libtiff/tif_aux.c:_TIFFMultiplySSize"
"LibTIFF","libtiff/tif_aux.c:_TIFFCastUInt64ToSSize"
"LibTIFF","libtiff/tif_aux.c:_TIFFCheckRealloc"
"LibTIFF","libtiff/tif_unix.c:_TIFFrealloc"
"LibTIFF","libtiff/tif_aux.c:_TIFFCheckMalloc"
"LibTIFF","libtiff/tif_aux.c:TIFFVGetFieldDefaulted"
"LibTIFF","libtiff/tif_dir.c:TIFFVGetField"
"LibTIFF","libtiff/tif_dirinfo.c:TIFFFindField"
"LibTIFF","libtiff/tif_aux.c:TIFFDefaultTransferFunction"
"LibTIFF","libtiff/tif_unix.c:_TIFFmalloc"
"LibTIFF","libtiff/tif_unix.c:_TIFFmemcpy"
"LibTIFF","libtiff/tif_unix.c:_TIFFfree"
"LibTIFF","libtiff/tif_aux.c:TIFFDefaultRefBlackWhite"
"LibTIFF","libtiff/tif_aux.c:TIFFGetFieldDefaulted"
"LibTIFF","libtiff/tif_aux.c:_TIFFUInt64ToFloat"
"LibTIFF","libtiff/tif_aux.c:_TIFFUInt64ToDouble"
"LibTIFF","libtiff/tif_aux.c:_TIFFClampDoubleToFloat"
"LibTIFF","libtiff/tif_aux.c:_TIFFSeekOK"
"LibTIFF","libtiff/tif_close.c:TIFFCleanup"
"LibTIFF","libtiff/tif_close.c:TIFFClose"
"LibTIFF","libtiff/tif_codec.c:NotConfigured"
"LibTIFF","libtiff/tif_codec.c:_notConfigured"
"LibTIFF","libtiff/tif_codec.c:TIFFIsCODECConfigured"
"LibTIFF","libtiff/tif_color.c:TIFFCIELabToXYZ"
"LibTIFF","libtiff/tif_color.c:TIFFXYZToRGB"
"LibTIFF","libtiff/tif_color.c:TIFFCIELabToRGBInit"
"LibTIFF","libtiff/tif_color.c:TIFFYCbCrtoRGB"
"LibTIFF","libtiff/tif_color.c:TIFFYCbCrToRGBInit"
"LibTIFF","libtiff/tif_unix.c:_TIFFmemset"
"LibTIFF","libtiff/tif_color.c:CLAMPw"
